number,symbol,name,mass,cpkHexColor,electronConfiguration,electronNegativity,radius,ionRadius,vanDelWaalsRadius,ionizationEnergy,electronAffinity,oxidationStates__001,oxidationStates__002,standardState,bondingType,meltingPoint,boilingPoint,density,family,yearDiscovered,oxidationStates__003,oxidationStates__004,oxidationStates__005,oxidationStates__006,oxidationStates__007,oxidationStates__008,oxidationStates__009,oxidationStates__010
1,H,Hydrogen,1.00794,#ffffff,1,2.2,37,null,120,1312,-73,-1,1,gas,diatomic,14,20,0.0000899,nonmetal,1766,,,,,,,,
2,He,Helium,4.002602,#d9ffff,2,null,32,null,140,2372,0,,,gas,atomic,null,4,0,noble gas,1868,,,,,,,,
3,Li,Lithium,6.941,#cc80ff,[He] 2s1,0.98,134,76,182,520,-60,1,,solid,metallic,454,1615,0.54,alkali metal,1817,,,,,,,,
4,Be,Beryllium,9.012182,#c2ff00,[He] 2s2,1.57,90,45,null,900,0,2,,solid,metallic,1560,2743,1.85,alkaline earth metal,1798,,,,,,,,
5,B,Boron,10.811,#ffb5b5,[He] 2s2 2p1,2.04,82,27,null,801,-27,1,2,solid,covalent network,2348,4273,2.46,metalloid,1807,3,,,,,,,
6,C,Carbon,12.0107,#909090,[He] 2s2 2p2,2.55,77,16,170,1087,-154,-4,-3,solid,covalent network,3823,4300,2.26,nonmetal,null,-2,null,1,2,3,4,,
7,N,Nitrogen,14.0067,#3050f8,[He] 2s2 2p3,3.04,75,146,155,1402,-7,-3,-2,gas,diatomic,63,77,0,nonmetal,1772,null,1,2,3,4,5,,
8,O,Oxygen,15.9994,#ff0d0d,[He] 2s2 2p4,3.44,73,140,152,1314,-141,-2,null,gas,diatomic,55,90,0,nonmetal,1774,1,2,,,,,,
9,F,Fluorine,18.9984032,#90e050,[He] 2s2 2p5,3.98,71,133,147,1681,-328,-1,,gas,atomic,54,85,0,halogen,1670,,,,,,,,
10,Ne,Neon,20.1797,#b3e3f5,[He] 2s2 2p6,null,69,null,154,2081,0,,,gas,atomic,25,27,0,noble gas,1898,,,,,,,,
11,Na,Sodium,22.98976928,#ab5cf2,[Ne] 3s1,0.93,154,102,227,496,-53,-1,1,solid,metallic,371,1156,0.97,alkali metal,1807,,,,,,,,
12,Mg,Magnesium,24.305,#8aff00,[Ne] 3s2,1.31,130,72,173,738,0,1,2,solid,metallic,923,1363,1.74,alkaline earth metal,1808,,,,,,,,
13,Al,Aluminum or Aluminium,26.9815386,#bfa6a6,[Ne] 3s2 3p1,1.61,118,53.5,null,578,-43,1,3,solid,metallic,933,2792,2.7,metal,null,,,,,,,,
14,Si,Silicon,28.0855,#f0c8a0,[Ne] 3s2 3p2,1.9,111,40,210,787,-134,-4,-3,solid,metallic,1687,3173,2.33,metalloid,1854,-2,null,1,2,3,4,,
15,P,Phosphorus,30.973762,#ff8000,[Ne] 3s2 3p3,2.19,106,44,180,1012,-72,-3,-2,solid,covalent network,317,554,1.82,nonmetal,1669,null,1,2,3,4,5,,
16,S,Sulfur,32.065,#ffff30,[Ne] 3s2 3p4,2.58,102,184,180,1000,-200,-2,null,solid,covalent network,388,718,1.96,nonmetal,null,1,2,3,4,5,6,,
